Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Company
2022-06-07,115.48049926757812,117.69100189208984,115.052001953125,117.14949798583984,31590000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-06-08,116.7614974975586,118.57050323486328,116.5999984741211,117.19400024414062,26108000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-06-09,116.32749938964844,118.29900360107422,114.7760009765625,114.83550262451172,25798000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-06-10,112.44499969482422,113.27899932861328,110.36599731445312,111.1614990234375,41452000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-06-13,106.7864990234375,108.79149627685547,106.11900329589844,106.39250183105469,47252000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-06-14,106.53500366210938,107.92449951171875,105.80000305175781,106.71549987792969,33706000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-06-15,108.54499816894531,111.42350006103516,107.66950225830078,109.7645034790039,39698000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-06-16,107.22100067138672,108.64849853515625,105.13800048828125,106.03350067138672,51684000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-06-17,106.03350067138672,108.69950103759766,105.0459976196289,107.14350128173828,51376000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-06-21,108.92949676513672,112.489501953125,108.5999984741211,111.54399871826172,47416000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-06-22,110.55650329589844,113.34649658203125,110.38249969482422,111.48750305175781,30774000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-06-23,112.23149871826172,112.74250030517578,110.50050354003906,112.24199676513672,28362000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-06-24,112.99500274658203,118.0790023803711,112.95249938964844,117.9749984741211,41164000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-06-27,118.27300262451172,118.57949829101562,115.17949676513672,115.83350372314453,36420000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-06-28,115.80249786376953,117.30950164794922,111.8479995727539,112.00749969482422,35792000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-06-29,111.552001953125,113.1604995727539,110.87249755859375,111.70149993896484,24716000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-06-30,110.0,110.88800048828125,106.75,108.96299743652344,43170000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-07-01,107.93299865722656,109.25,106.73049926757812,108.73750305175781,35476000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-07-05,107.10050201416016,113.37699890136719,105.73149871826172,113.26300048828125,39342000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-07-06,113.302001953125,115.5895004272461,111.47599792480469,114.5719985961914,37432000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-07-07,115.08000183105469,119.18949890136719,114.83350372314453,118.78299713134766,40936000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-07-08,117.25,119.68499755859375,116.90149688720703,119.35350036621094,38238000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-07-11,117.99800109863281,117.99800109863281,115.33049774169922,115.67649841308594,31196000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-07-12,116.21499633789062,116.9739990234375,113.69000244140625,114.02050018310547,29960000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-07-13,111.70099639892578,114.19599914550781,111.20149993896484,111.35350036621094,43722000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-07-14,110.21050262451172,111.09300231933594,108.37300109863281,110.36750030517578,37004000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-07-15,112.00050354003906,113.1405029296875,110.9000015258789,111.77749633789062,46770000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-07-18,112.63999938964844,113.68000030517578,108.37000274658203,109.02999877929688,43164600,0.0,20.0,GOOGL,Alphabet Inc. (A)
2022-07-19,110.8499984741211,114.0199966430664,109.55999755859375,113.80999755859375,36530900,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-07-20,113.16999816894531,115.4000015258789,112.4800033569336,113.9000015258789,35600400,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-07-21,114.27999877929688,114.55000305175781,111.11000061035156,114.33999633789062,32676200,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-07-22,111.0,112.33999633789062,106.5,107.9000015258789,48901200,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-07-25,108.41000366210938,109.87000274658203,106.30000305175781,107.51000213623047,34690900,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-07-26,106.5999984741211,107.19999694824219,104.06999969482422,105.0199966430664,47991000,0.0,0.0,GOOGL,Alphabet Inc. (A)
2022-07-27,109.26000213623047,113.91000366210938,108.01000213623047,113.05999755859375,59858500,0.0,0.0,GOOGL,Alphabet Inc. (A)
