date,Interest
2023-04-20,37
2023-04-21,37
2023-04-22,37
2023-04-23,52
2023-04-24,52
2023-04-25,52
2023-04-26,52
2023-04-27,52
2023-04-28,52
2023-04-29,52
2023-04-30,37
2023-05-01,37
2023-05-02,37
2023-05-03,37
2023-05-04,37
2023-05-05,37
2023-05-06,37
2023-05-07,28
2023-05-08,28
2023-05-09,28
2023-05-10,28
2023-05-11,28
2023-05-12,28
2023-05-13,28
2023-05-14,33
2023-05-15,33
2023-05-16,33
2023-05-17,33
2023-05-18,33
2023-05-19,33
2023-05-20,33
2023-05-21,37
2023-05-22,37
2023-05-23,37
2023-05-24,37
2023-05-25,37
2023-05-26,37
2023-05-27,37
2023-05-28,36
2023-05-29,36
2023-05-30,36
2023-05-31,36
2023-06-01,36
2023-06-02,36
2023-06-03,36
2023-06-04,25
2023-06-05,25
2023-06-06,25
2023-06-07,25
2023-06-08,25
2023-06-09,25
2023-06-10,25
2023-06-11,31
2023-06-12,31
2023-06-13,31
2023-06-14,31
2023-06-15,31
2023-06-16,31
2023-06-17,31
2023-06-18,45
2023-06-19,45
2023-06-20,45
2023-06-21,45
2023-06-22,45
2023-06-23,45
2023-06-24,45
2023-06-25,50
2023-06-26,50
2023-06-27,50
2023-06-28,50
2023-06-29,50
2023-06-30,50
2023-07-01,50
2023-07-02,45
2023-07-03,45
2023-07-04,45
2023-07-05,45
2023-07-06,45
2023-07-07,45
2023-07-08,45
2023-07-09,34
2023-07-10,34
2023-07-11,34
2023-07-12,34
2023-07-13,34
2023-07-14,34
2023-07-15,34
2023-07-16,38
2023-07-17,38
2023-07-18,38
2023-07-19,38
2023-07-20,38
2023-07-21,38
2023-07-22,38
2023-07-23,32
2023-07-24,32
2023-07-25,32
2023-07-26,32
2023-07-27,32
2023-07-28,32
2023-07-29,32
2023-07-30,44
2023-07-31,44
2023-08-01,44
2023-08-02,44
2023-08-03,44
2023-08-04,44
2023-08-05,44
2023-08-06,34
2023-08-07,34
2023-08-08,34
2023-08-09,34
2023-08-10,34
2023-08-11,34
2023-08-12,34
2023-08-13,40
2023-08-14,40
2023-08-15,40
2023-08-16,40
2023-08-17,40
2023-08-18,40
2023-08-19,40
2023-08-20,33
2023-08-21,33
2023-08-22,33
2023-08-23,33
2023-08-24,33
2023-08-25,33
2023-08-26,33
2023-08-27,54
2023-08-28,54
2023-08-29,54
2023-08-30,54
