Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock_Splits
2016-02-01,78.20999908447266,79.16000366210938,77.27999877929688,78.4000015258789,66.27721405029297,4056000,0.0,0.0
2016-02-02,77.66000366210938,78.30000305175781,76.08999633789062,76.30000305175781,64.501953125,4804200,0.0,0.0
2016-02-03,76.45999908447266,77.55000305175781,74.18000030517578,76.08999633789062,64.32441711425781,6966400,0.0,0.0
2016-02-04,75.94999694824219,76.52999877929688,73.44000244140625,74.27999877929688,62.794273376464844,6339500,0.0,0.0
2016-02-05,74.16000366210938,75.81999969482422,73.55000305175781,74.31999969482422,62.82809066772461,6312800,0.0,0.0
2016-02-08,73.55000305175781,74.58000183105469,72.83000183105469,74.19000244140625,62.71821212768555,4348800,0.0,0.0
2016-02-09,73.43000030517578,74.95999908447266,72.72000122070312,73.73999786376953,62.33780288696289,5160000,0.0,0.0
2016-02-10,73.7300033569336,74.87000274658203,72.9800033569336,73.06999969482422,62.20156478881836,4748700,0.51,0.0
2016-02-11,72.19999694824219,72.62999725341797,70.83000183105469,71.41999816894531,60.797000885009766,5425400,0.0,0.0
2016-02-12,71.56999969482422,71.7300033569336,70.43000030517578,71.2699966430664,60.669307708740234,6332600,0.0,0.0
2016-02-16,71.94999694824219,73.41999816894531,71.93000030517578,73.33000183105469,62.42290496826172,4811300,0.0,0.0
2016-02-17,74.01000213623047,74.91999816894531,73.08999633789062,74.68000030517578,63.572105407714844,4000300,0.0,0.0
2016-02-18,73.41999816894531,74.55000305175781,73.16000366210938,73.47000122070312,62.542091369628906,5620000,0.0,0.0
2016-02-19,72.69000244140625,73.06999969482422,72.19999694824219,72.61000061035156,61.810001373291016,6650800,0.0,0.0
2016-02-22,72.91000366210938,73.63999938964844,72.0999984741211,73.01000213623047,62.15050506591797,5672600,0.0,0.0
2016-02-23,73.0999984741211,74.5,73.05999755859375,73.47000122070312,62.542091369628906,4411200,0.0,0.0
2016-02-24,73.33000183105469,74.27999877929688,72.63999938964844,74.0999984741211,63.07839584350586,3636100,0.0,0.0
2016-02-25,74.2699966430664,74.88999938964844,73.7699966430664,74.81999969482422,63.69130325317383,4306800,0.0,0.0
2016-02-26,75.41999816894531,75.79000091552734,73.41000366210938,73.5999984741211,62.65275955200195,4807700,0.0,0.0
2016-02-29,73.37000274658203,73.37000274658203,71.9800033569336,72.0,61.290733337402344,5730200,0.0,0.0
2016-03-01,72.62999725341797,72.80999755859375,71.86000061035156,72.73999786376953,61.920654296875,4541700,0.0,0.0
